Client,Service Area,Expenditure Catergory,Expenditure Code,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name
OCC,Direct Services,Refuse Containers,D3004,27/09/2016,60061505 - 0,1845,Revenue,20008146,EGBERT H TAYLOR & CO LTD
OCC,Direct Services,Refuse Containers,D3004,27/09/2016,60061506 - 1,10586.11,Revenue,20008146,EGBERT H TAYLOR & CO LTD
OCC,Direct Services,Reactive Maintenance & Minor Repairs,B1101,27/09/2016,60061514 - 1,425,Revenue,20002241,HURLEY INDUSTRIAL CLEANING EQU
OCC,Direct Services,Materials,D3021,27/09/2016,60061519 - 0,3614.84,Revenue,20011554,MEON LTD
OCC,Direct Services,Reactive Maintenance & Minor Repairs,B1101,27/09/2016,60061521 - 0,2015,Revenue,20000244,OXFORD REFRIGERATION LTD
OCC,Direct Services,Engineering Services Supplies and Services,D3319,27/09/2016,60061522 - 1,3037.46,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
OCC,Direct Services,Temporary Bureau Staffing,A0108,27/09/2016,60061526 - 1,1047.8,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
OCC,Direct Services,Engineering Services Supplies and Services,D3319,27/09/2016,60061527 - 0,469.44,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
OCC,Direct Services,Temporary Bureau Staffing,A0108,27/09/2016,60061530 - 1,443.3,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
OCC,Direct Services,Temporary Bureau Staffing,A0108,27/09/2016,60061536 - 1,3868.8,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
OCC,Direct Services,Engineering Services Supplies and Services,D3319,27/09/2016,60061537 - 0,3352.38,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
OCC,Direct Services,Temporary Bureau Staffing,A0108,27/09/2016,60061538 - 0,1612,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
OCC,Direct Services,Engineering Services Supplies and Services,D3319,27/09/2016,60061539 - 1,703.75,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
OCC,Direct Services,Temporary Bureau Staffing,A0108,27/09/2016,60061540 - 0,644.8,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
OCC,Direct Services,Temporary Bureau Staffing,A0108,27/09/2016,60061541 - 1,1450.8,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
OCC,Direct Services,Temporary Bureau Staffing,A0108,27/09/2016,60061542 - 0,644.8,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
OCC,Direct Services,Temporary Bureau Staffing,A0108,27/09/2016,60061543 - 1,806,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
OCC,Direct Services,Temporary Bureau Staffing,A0108,27/09/2016,60061550 - 0,806,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
OCC,Direct Services,Temporary Bureau Staffing,A0108,27/09/2016,60061552 - 0,1128.4,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
OCC,Direct Services,Engineering Services Supplies and Services,D3319,27/09/2016,60061553 - 1,1855.4,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
OCC,Direct Services,Temporary Bureau Staffing,A0108,27/09/2016,60061554 - 0,483.6,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
OCC,Direct Services,Engineering Services Supplies and Services,D3319,27/09/2016,60061555 - 1,424.49,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
OCC,Direct Services,Temporary Bureau Staffing,A0108,27/09/2016,60061557 - 1,644.8,Revenue,20012482,OXFORD & DISTRICT BUILDING SERVICES LIMITED
OCC,Direct Services,Materials,D3021,27/09/2016,60061578 - 0,2079.06,Revenue,20000263,SHEEHAN HAULAGE & PLANT HIRE LTD
OCC,Direct Services,Materials,D3021,27/09/2016,60061579 - 1,1472.5,Revenue,20000263,SHEEHAN HAULAGE & PLANT HIRE LTD
OCC,Direct Services,Materials,D3021,27/09/2016,60061583 - 1,812.76,Revenue,20012799,LAFARGE TARMAC TRADING LIMITED
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061594 - 1,1157.9,Revenue,20000210,BARKER & EVANS LTD
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061597 - 0,1989,Revenue,20000210,BARKER & EVANS LTD
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061599 - 0,3500,Revenue,20000215,CHILTERN INVADEX LTD
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061600 - 1,5297.6,Revenue,20000219,DARNELLS LTD
OCC,Direct Services,Direct Services Supplies & Services,D3311,27/09/2016,60061606 - 1,4215.97,Revenue,20005595,EXECUTIVE SECURITY LOCKSMITHS LTD
